  brand_name;non_cruelty_free;
Brandefy Skin;0
Bread Beauty Supply;0
Briogeo;0
Bubble;0
Bulldog;0
Bumble and bumble;0
Burt’s Bees;0
Buxom;0
By Beauty Bay;0
By Rosie Jane;0
By Wishtrend;0
Byoma;0
C.O. Bigelow;0
CHI;0
CLE Cosmetics;0
Cailyn Cosmetics;0
Cake;0
California Tan;0
Caliray;0
Cantu;0
Captain Blankenship;0
Carbon Theory;0
Cargo;0
Carina Organics;0
Carol’s Daughter;0
Caswell-Massey;0
Cate McNabb;0
Catrice;0
Cela;0
Celeb Luxury;0
Ceramedx;0
Ceremonia;0
Certain Dri;0
Certain Dri;0
Chantecaille;0
Charlotte Tilbury;0
Cheekbone Beauty;0
Chi Chi Cosmetics;0
Chiki Buttah;0
China Glaze;0
Christophe Robin;0
Ciaté;0
Cien;0
City Beauty;0
Clean;0
Cleancult;0
Cleanwell;0
Cleo+Coco;0
Clove + Hallow;0
Coco & Eve;0
Cocofloss;0
Cocokind;0
Coconut Matter;0
Color Dept.;0
Coloured Raine;0
Colourpop;0
Community Sixty Six;0
Conair;0
Concrete Minerals;0
Coola;0
Copycat Beauty;0
Corpus;0
Cosmedix;0
Cosmoss;0
Cover FX;0
Covergirl;0
Crazy Color;0
Crazy Rumors;0
Cremo;0
Crown Affair;0
Crystal;0
Crépe Erase;0
Cuccio Naturale;0
Curlsmith;0
Curology;0
Cécred;0
D. S. & Durga;0
DAMDAM;0
DAME;0
DERMAdoctor;0
DIBS Beauty;0
DIME;0
Dae;0
Danessa Myricks;0
Danielle Creations;0
Das Boom;0
Davids;0
De Mamiel;0
DeLaMark;0
DeVita;0
Dear Dahlia;0
Dear, Klairs;0
Deborah Lippmann;0
Deck of Scarlet;0
Deco Miami;0
DedCool;0
Deep Steep;0
DefineMe Fragrance;0
Delicate Daisys Botanical Beauty;0
DermOrganic;0
Derma E;0
Dermablend;0
Dermalogica;0
Desert Essence;0
DevaCurl;0
Dezi Skin;0
Dial;0
Dieux;0
Dinobi;0
Dionis;0
Doll 10;0
Dose Of Colors;0
Dossier;0
Dotted Zebra;0
Double Dare;0
Dove;0
Dr Teal’s;0
Dr. Alkaitis;0
Dr. Barbara Sturm;0
Dr. Bronner’s;0
Dr. Dennis Gross;0
Dr. Hauschka;0
Dr. Loretta;0
Dr. Organic;0
Dr. PAWPAW;0
Dr. Sam’s;0
Drunk Elephant;0
Drybar;0
DuWop;0
EADEM;0
ECOS;0
EO Products;0
EOS;0
EVOLVh;0
Earth Breeze;0
Earth Harbor;0
Earth Tu Face;0
Earths Laundry;0
Earth’s Beauty;0
EasterMia;0
Eau de Juice;0
Ecco Bella;0
Eco Lips;0
Eco Me;0
EcoColors;0
EcoTools;0
Ecover;0
Eczema Honey;0
Edible Beauty;0
Edward Bess;0
Elate;0
Eleven Australia;0
Elizabeth Grant;0
Ella + Mila;0
Ellis Faas;0
Ellovi;0
Em Cosmetics;0
Emani;0
Embryolisse;0
Eminence Organic Skincare;0
Epic Blend;0
Erborian;0
Ere Perez;0
Essence;0
Estate Cosmetics;0
Estrid;0
Ethique;0
Eva Nyc;0
Everyday Minerals;0
Evolve Organic Beauty;0
Exa Beauty;0
Eyeko;0
Fable & Mane;0
Face Atelier;0
Facetheory;0
Faith In Nature;0
Farmacy Beauty;0
Farsali;0
Fat and the Moon;0
Fekkai;0
Fenty Beauty;0
Fenty Skin;0
Finding Ferdinand;0
Fiona Stiles;0
Fior Minerals;0
First Aid Beauty;0
Fitglow Beauty;0
Flamingo;0
Flawless Lashes By Loreta;0
Fleur & Bee;0
Flora + Bast;0
Floral Street;0
Florence by Mills;0
Floris London;0
Flower Beauty;0
Follain;0
Forager Botanicals;0
Formil;0
Formula 10.0.6;0
Formulary 55;0
Fragrance by Sabrina;0
Frank Body;0
Freck Beauty;0
French Girl;0
Freshly;0
Function of Beauty;0
Fur;0
Furless;0
GOSH;0
GXVE;0
Gabriel Cosmetics;0
Garnier;0
Gatineau;0
Gerard Cosmetics;0
GiGi;0
Giovanni;0
Girlactik;0
Gisou;0
Glamnetic;0
Glo Skin Beauty;0
Gloss Moderne;0
Glossier;0
Glow Jar Beauty;0
Glow Recipe;0
Gold Bond;0
Good Dye Young;0
Good Molecules;0
Goodness;0
Grande Cosmetics;0
Graydon;0
Green Label Goods;0
Gressa;0
Grounded Sage;0
Grown Alchemist;0
Gypsy Women Soap Co.;0
HAN;0
HERETIC;0
Habit;0
Hair by Sam McKnight;0
Hairitage by Mindy;0
Hairstory;0
Hally;0
Hana Organic Skincare;0
Hard Candy;0
Harlem Botanica;0
Harry’s;0
Harvey Prince Organics;0
Hask;0
Haus Labs by Lady Gaga;0
Hawaiian Tropic;0
Hello Products;0
Hempme;0
Hempz;0
Henry Rose;0
Herbal Essences;0
Herbatint;0
Herbivore Botanicals;0
Hero Cosmetics;0
Honest Beauty;0
Honore Des Pres;0
Hourglass;0
House of Lashes;0
Huda Beauty;0
Humble;0
Hung Vanngo Beauty;0
Hurraw!;0
Huygens;0
Hynt Beauty;0
I Am Selfcare;0
I Dew Care;0
IGK;0
ILIA;0
INNERSOUL;0
ISAMAYA;0
IT Cosmetics;0
Il Makiage;0
Iles Formula;0
Illamasqua;0
Indie Lee;0
Infuse by Casabella;0
Inika;0
Innbeauty Project;0
Innersense;0
Innisfree;0
InstaNatural;0
Isle of Paradise;0
Isntree;0
It’s A 10;0
I’m From;0
J. Cat Beauty;0
JASON;0
JINsoon;0
JLo Beauty;0
JVN Hair;0
Jacq’s;0
Jane;0
Jane Iredale;0
Japonesque;0
Jason Wu Beauty;0
Jecca Blac;0
Jeffree Star;0
Jillian Dempsey;0
John Masters Organics;0
Joico;0
Jolie Vegan;0
Jones Road Beauty;0
Jordana;0
Josh Rosebrook;0
Josie Maran;0
Jouer;0
Juice Beauty;0
Julep;0
Julia’s Essentials;0
Juvia’s Place;0
K18 Hair;0
KIKO Milano;0
KINDri Los Angeles;0
KKW Beauty;0
KVD Vegan Beauty;0
Kadalys;0
Kahina Giving Beauty;0
Kaia Naturals;0
Kaja Beauty;0
Kari Gran;0
Kate McLeod;0
Kate Somerville;0
Kayali;0
Kaylaan;0
Kear;0
Kenra;0
Kesha Rose Beauty;0
Kester Black;0
Kevin Murphy;0
Keys Soulcare;0
Kind Laundry;0
Kind Science;0
Kinship;0
Kiss My Face;0
Kitsch;0
Kjaer Weis;0
Koh Gen Do;0
Kopari Beauty;0
Kora Organics;0
Korres;0
Kosas;0
Krave Beauty;0
Kreyol Essence;0
Kristin Ess;0
Kryolan;0
Krī Skincare;0
Kure Bazaar;0
Kylie Cosmetics;0
Kylie Skin;0
Kypris;0
LA Colors;0
LA Girl;0
LH Cosmetics;0
LOOPS;0
LORD & BERRY;0
LUSH;0
LVX;0
La Fleur by Livvy;0
Lady Ease;0
Lake & Skye;0
Lamik Beauty;0
Lancer;0
Lano;0
Lather;0
Laura Geller;0
Lauren B. Beauty;0
Lavanila;0
Lawless;0
Le Couvent Des Minimes;0
Le Petit Olivier;0
Leafinty;0
Level Naturals;0
Lexli;0
Lidl;0
Lilah B.;0
Lily Lolo;0
LilyAna Naturals;0
Lime Crime;0
Lina Hanson;0
Lisa Eldridge;0
Lise Watier;0
Lit Cosmetics;0
Little Seed Farm;0
Live Clean;0
Live Love Locks;0
Live Tinted;0
Living Proof;0
Liz Earle;0
LolaVie;0
Loli Beauty;0
Lolita Lempicka;0
Lottie London;0
Lotus Wei;0
Love Sun Body;0
Lovefresh;0
Lovesong Beauty;0
Lulu Organics;0
Lumē;0
Luna Daily;0
Lunar Beauty;0
Lurk;0
Lys Beauty;0
MAHALO;0
MCoBeauty;0
MECCA MAX;0
MONDAY;0
MUN;0
MV Skintherapy;0
Mad Hippie;0
Madara Cosmetics;0
Made By Dentists;0
Madison Reed;0
Maison Louis Marie;0
Makeup By Mario;0
Makeup Geek;0
Mally Beauty;0
Mango People;0
Manic Panic;0
Marc Jacobs Beauty;0
Marcelle;0
Maria Nila;0
Marie Hunter Beauty;0
Mario Badescu;0
Marks & Spencer;0
Marula;0
May Lindstrom;0
Mayraki Professional;0
Maëlys Cosmetics;0
Meaningful Beauty;0
Medik8;0
Mehron;0
Melanin Haircare;0
Melixir;0
Melody’s Magical Scents;0
Melt Cosmetics;0
Mented Cosmetics;0
Meow Meow Tweet;0
Merit;0
Method;0
Milani;0
Milk Makeup;0
Milkshake Hair;0
Mineral Fusion;0
Miracle Made;0
Molly’s Suds;0
Molton Brown;0
Moon Juice;0
Moroccanoil;0
Mrs. Meyer’s;0
Mukti;0
Murad;0
Muri Lelu;0
My Daughter Fragrances;0
My I.D.;0
MyChelle;0
NAILS.Inc;0
NCLA;0
NEST Fragrances;0
NOYZ;0
NYX;0
Nabla Cosmetics;0
Nad’s;0
Naked Sundays;0
Nani Pua;0
Natasha Denona;0
Natio;0
Native;0
Natu Cosmetics;0
Natura;0
Natura Siberica;0
Naturally Serious;0
Nature Clean;0
Nature’s Gate;0
Naturium;0
Nellie’s;0
Nette;0
Nip + Fab;0
No B.S.;0
No7;0
Not Your Mother’s;0
Noughty;0
Nourish Organic;0
Nubian Heritage;0
Nude By Nature;0
Nude Skincare;0
Nudestix;0
OFRA Cosmetics;0
OOO Polish;0
OSEA Malibu;0
OWN IT;0
OZ Naturals;0
Odacité;0
Odylique;0
Oil Divine;0
